iter	MultiClass
200	0.2275840636
201	0.2270721931
202	0.2258584443
203	0.2234284849
204	0.2214807783
205	0.2206394213
206	0.2197985436
207	0.2188051932
208	0.218047949
209	0.2174531379
210	0.2151094163
211	0.2145725385
212	0.2134614196
213	0.21254118
214	0.2106399922
215	0.2095572011
216	0.2081996199
217	0.2073623317
218	0.2066446065
219	0.2047539952
220	0.2041950252
221	0.2031246646
222	0.202793076
223	0.20123165
224	0.1989491849
225	0.1981459511
226	0.1972708389
227	0.1968171043
228	0.1959680054
229	0.1944064308
230	0.1941154609
231	0.1926938757
232	0.1917790379
233	0.1907586113
234	0.1898315509
235	0.1893384586
236	0.1884559271
237	0.1862882413
238	0.1855718808
239	0.1842454297
240	0.182567701
241	0.1815792316
242	0.1801375373
243	0.1792780535
244	0.1782604073
245	0.1778029599
246	0.176905483
247	0.1759233702
248	0.1752041298
249	0.1741759025
250	0.1726442235
251	0.1721110513
252	0.1715623831
253	0.1709705096
254	0.170138619
255	0.1690367459
256	0.1686097361
257	0.1677902114
258	0.1672269676
259	0.1664931418
260	0.1655302118
261	0.1648146134
262	0.1640291149
263	0.1630541452
264	0.1617271442
265	0.1612657598
266	0.160543316
267	0.1598502573
268	0.158484139
269	0.1578418232
270	0.1570564316
271	0.1561495926
272	0.155587824
273	0.1544620672
274	0.1530140069
275	0.1520255984
276	0.1516576824
277	0.1512876836
278	0.1499537885
279	0.1492919647
280	0.1484522415
281	0.147977098
282	0.147509943
283	0.1466134306
284	0.1459818516
285	0.1452309554
286	0.1444409744
287	0.1438781643
288	0.1436448187
289	0.1433432961
290	0.142667629
291	0.1414847219
292	0.1405035628
293	0.1396224993
294	0.1387693576
295	0.1381422526
296	0.1374383728
297	0.1362916487
298	0.1350728566
299	0.1341216291
300	0.1335503859
301	0.1332316168
302	0.1329866194
303	0.132287178
304	0.1316275218
305	0.1310906273
306	0.1308261091
307	0.1305900335
308	0.1301447878
309	0.1295171546
310	0.1288587662
311	0.1284374115
312	0.1276745961
313	0.1267981176
314	0.1262262747
315	0.1257019417
316	0.1253273501
317	0.1245906849
318	0.1243598338
319	0.1238528034
320	0.123450447
321	0.1230356954
322	0.1223380662
323	0.1221011189
324	0.121679305
325	0.1209338976
326	0.1206058448
327	0.1200554082
328	0.1197195424
329	0.1193163748
330	0.1188319946
331	0.1179684862
332	0.1174161201
333	0.116925061
334	0.1162736896
335	0.1157454261
336	0.1153939552
337	0.1146631388
338	0.1141832097
339	0.1137961637
340	0.1134053536
341	0.1129487358
342	0.112372773
343	0.1117703082
344	0.1113303289
345	0.1110990281
346	0.1104457696
347	0.1100776605
348	0.1097291017
349	0.1095172401
350	0.1087538964
351	0.1084575769
352	0.1081053475
353	0.1075324232
354	0.1070293881
355	0.1066056213
356	0.1058153249
357	0.1052320904
358	0.1046779945
359	0.1041583027
360	0.103813929
361	0.1035721648
362	0.1032213844
363	0.1030266568
364	0.1025537611
365	0.1021373221
366	0.1018165387
367	0.101373327
368	0.1007327742
369	0.100430741
370	0.100151431
371	0.09996315037
372	0.09942465725
373	0.09908432774
374	0.0983258486
375	0.09813189969
376	0.09778893196
377	0.09758732875
378	0.09682088177
379	0.09607268515
380	0.09552822534
381	0.09511220856
382	0.09465969548
383	0.09448197735
384	0.0941612721
385	0.09343511879
386	0.09311852275
387	0.0930639558
388	0.09276164849
389	0.09248509387
390	0.09213249236
391	0.09172971444
392	0.09139276937
393	0.09109121648
394	0.09074051966
395	0.09054009218
396	0.08995041312
397	0.08973827629
398	0.08948689534
399	0.0890173026
400	0.08858142969
401	0.08838300072
402	0.08817616635
403	0.08767406602
404	0.08734156967
405	0.08698653567
406	0.08667733685
407	0.08643873316
408	0.08606473633
409	0.0857364599
410	0.08544695533
411	0.08503691272
412	0.0846031589
413	0.08424680422
414	0.08409250867
415	0.08387068844
416	0.08376031094
417	0.08347230083
418	0.08333528215
419	0.08300855979
420	0.0826767256
421	0.08246809018
422	0.08217271729
423	0.08187197382
424	0.08165173773
425	0.08138271114
426	0.08087551957
427	0.08065594728
428	0.08036996279
429	0.08018001486
430	0.0800102178
431	0.07987177316
432	0.07971851758
433	0.07948445254
434	0.07938830645
435	0.07924117248
436	0.07895851288
437	0.07874244455
438	0.07861866459
439	0.0782239604
440	0.07790294307
441	0.07751426126
442	0.07728210843
443	0.07660294482
444	0.07625573752
445	0.07599386982
446	0.07571026821
447	0.07546481541
448	0.07525469008
449	0.07475607464
450	0.07463832877
451	0.07433745802
452	0.07417784662
453	0.07392174597
454	0.07356920549
455	0.07305739363
456	0.07284768615
457	0.07257323862
458	0.07225214457
459	0.07205502558
460	0.07168551362
461	0.07144881567
462	0.07114322636
463	0.07089106605
464	0.07031660913
465	0.07021630701
466	0.07006465113
467	0.06967461115
468	0.06950204792
469	0.06928709969
470	0.06900409578
471	0.06882094061
472	0.06858314993
473	0.06838500615
474	0.06812775028
475	0.06769998277
476	0.06752456718
477	0.0673313925
478	0.06693990568
479	0.06661577736
480	0.06636187225
481	0.06619980691
482	0.06597203568
483	0.0656721448
484	0.06548522115
485	0.06504327733
486	0.06487883694
487	0.06471665374
488	0.0644629522
489	0.06425460722
490	0.06395046387
491	0.0637801531
492	0.06341833495
493	0.06323744688
494	0.06303189596
495	0.06296880881
496	0.06276975113
497	0.06259754807
498	0.06240039843
499	0.06213876462
500	0.06191182948
501	0.06176622523
502	0.06159886155
503	0.06143700549
504	0.06130000334
505	0.06120285372
506	0.06107206384
507	0.06097329977
508	0.06084469198
509	0.06057937014
510	0.06032197103
511	0.06013241121
512	0.05998155961
513	0.0598270067
514	0.05962156868
515	0.05936426052
516	0.05921975864
517	0.05911403224
518	0.05879149814
519	0.05866871658
520	0.05852147376
521	0.05821670789
522	0.05809705096
523	0.05787267315
524	0.05771760651
525	0.05745613574
526	0.05710592949
527	0.05694665532
528	0.05670565751
529	0.05653655273
530	0.05637329016
531	0.05632058378
532	0.05616485347
533	0.05602203092
534	0.05569916493
535	0.05546539274
536	0.05533405971
537	0.05512167185
538	0.05504325244
539	0.05488993504
540	0.05485335509
541	0.05467750115
542	0.05457553182
543	0.05441137683
544	0.05412710808
545	0.05400490969
546	0.05390734571
547	0.05384962736
548	0.05374829654
549	0.05366537842
550	0.05344769116
551	0.05335659313
552	0.05327175554
553	0.05312841782
554	0.05300369032
555	0.0528773201
556	0.05281958336
557	0.05258974594
558	0.05237735265
559	0.05230556618
560	0.05221492114
561	0.05192340363
562	0.05171944302
563	0.05158318076
564	0.05147802103
565	0.05130266107
566	0.05099216892
567	0.05089273919
568	0.05063212655
569	0.05043998001
570	0.05033236713
571	0.05020643223
572	0.04997825721
573	0.04976486832
574	0.04964628444
575	0.049564566
576	0.04946867633
577	0.0493355442
578	0.04928898631
579	0.04911895303
580	0.04896268195
581	0.04883790367
582	0.04854237862
583	0.04834505034
584	0.04812565979
585	0.04802506415
586	0.04793760141
587	0.04778687024
588	0.04756247055
589	0.04750743518
590	0.04744437503
591	0.04733142598
592	0.04720223525
593	0.04712921538
594	0.04702637695
595	0.04685114803
596	0.04671736963
597	0.04653017103
598	0.04644685826
599	0.04635701974
600	0.04630360868
601	0.04620387562
602	0.04605802244
603	0.04595586182
604	0.04585549255
605	0.04574697229
606	0.04566527737
607	0.04557712225
608	0.04552370495
609	0.04548592354
610	0.04538115651
611	0.04521444445
612	0.04504392893
613	0.04481326425
614	0.04476915838
615	0.04472231924
616	0.04464333673
617	0.0444525623
618	0.04441346339
619	0.04419803166
620	0.04408405325
621	0.04401703664
622	0.04385502173
623	0.04375229747
624	0.04359520494
625	0.04352913641
626	0.04346539059
627	0.04333316517
628	0.04315457308
629	0.04300898083
630	0.0429492546
631	0.04278954603
632	0.04265913024
633	0.04254227411
634	0.0423841672
635	0.04233710813
636	0.04228838056
637	0.04211239065
638	0.04199530411
639	0.04184923646
640	0.04167790029
641	0.04155059842
642	0.04143608871
643	0.04139741477
644	0.04129407945
645	0.04122808474
646	0.04118495922
647	0.04109785947
648	0.04092488078
649	0.0408778179
650	0.04078277941
651	0.04066172418
652	0.04056671017
653	0.0405333868
654	0.04031601495
655	0.04019582706
656	0.04008903248
657	0.04004763999
658	0.03999997267
659	0.03993741136
660	0.03985741406
661	0.03977675611
662	0.03961083887
663	0.03950716
664	0.03946299731
665	0.03936190253
666	0.03923038416
667	0.03917755608
668	0.0390895095
669	0.03900928096
670	0.03893221878
671	0.03875524453
672	0.03861539794
673	0.03854239354
674	0.03848642809
675	0.03826031594
676	0.03813740755
677	0.03810184823
678	0.03800377629
679	0.03789705182
680	0.03779774078
681	0.03769820469
682	0.03757874018
683	0.03755016546
684	0.03739324762
685	0.03728579452
686	0.03724383533
687	0.03710904619
688	0.03703912903
689	0.03690582789
690	0.03684800833
691	0.03675840396
692	0.03666634517
693	0.03655582088
694	0.03650129168
695	0.03633963619
696	0.03626070354
697	0.03617784707
698	0.03601793505
699	0.03593194013
700	0.0357915803
701	0.03576324909
702	0.03569591699
703	0.03560336832
704	0.03551876787
705	0.03542694393
706	0.03536907157
707	0.03529940434
708	0.03509680494
709	0.03504123098
710	0.03492441889
711	0.03486839891
712	0.03482194049
713	0.03479512277
714	0.03473217377
715	0.03465586375
716	0.03458302716
717	0.03451525715
718	0.03445012414
719	0.03437264524
720	0.03427758624
721	0.03424305221
722	0.03422747093
723	0.03416930504
724	0.03414307092
725	0.03410999676
726	0.03409385194
727	0.03404288567
728	0.03395917248
729	0.03385534536
730	0.03371754194
731	0.03362788037
732	0.03359490858
733	0.03353402766
734	0.0334368501
735	0.03337587633
736	0.03334349549
737	0.03326823202
738	0.03320943245
739	0.03315446507
740	0.03307720728
741	0.03300793643
742	0.03292117589
743	0.03285584623
744	0.03278570646
745	0.03271760208
746	0.03264876728
747	0.03257704534
748	0.03253951413
749	0.03243925594
750	0.03236986945
751	0.03229232085
752	0.0322461195
753	0.03219361398
754	0.03215783827
755	0.03210410349
756	0.03202873569
757	0.03191593779
758	0.03185338912
759	0.03179764973
760	0.0317035408
761	0.0316668116
762	0.03162975166
763	0.03156994894
764	0.03147083756
765	0.03144562129
766	0.03138755629
767	0.03133399855
768	0.03130167117
769	0.03124386941
770	0.03117065308
771	0.03108210946
772	0.03101614859
773	0.03097031794
774	0.03095342824
775	0.03091520742
776	0.03084268195
777	0.03076334958
778	0.03071835035
779	0.03067320431
780	0.03061904042
781	0.03053562181
782	0.03044691593
783	0.03040000314
784	0.03036612171
785	0.03031998928
786	0.0302760022
787	0.0302559878
788	0.03021689554
789	0.03017212698
790	0.03011406064
791	0.03005449291
792	0.03000862313
793	0.02994709672
794	0.02985703158
795	0.02979908767
796	0.02972674984
797	0.02967613394
798	0.02960015895
799	0.02954245843
800	0.02948400991
801	0.02940296068
802	0.02931003023
803	0.02929693718
804	0.02926898608
805	0.02922401369
806	0.0291712351
807	0.02911180428
808	0.02904167495
809	0.02898376802
810	0.02894657297
811	0.02886735214
812	0.02884243054
813	0.02878575626
814	0.02870977708
815	0.02862175175
816	0.02856775722
817	0.02850756813
818	0.0284489535
819	0.02836928444
820	0.02830656645
821	0.02821642961
822	0.02815545092
823	0.02809629433
824	0.02803384543
825	0.0280020313
826	0.02797976379
827	0.02791302701
828	0.02784268911
829	0.02780831551
830	0.02767637047
831	0.02764233775
832	0.02762099715
833	0.02758050138
834	0.02755442798
835	0.02750321354
836	0.02748451586
837	0.02744961041
838	0.02738633896
839	0.0273534547
840	0.02730010383
841	0.02724852744
842	0.02720929007
843	0.02717135921
844	0.02710094387
845	0.02708741551
846	0.02703551544
847	0.02699043494
848	0.02694901749
849	0.02691177298
850	0.02689071167
851	0.02684129895
852	0.02680223296
853	0.02674801512
854	0.0266614042
855	0.02660488939
856	0.02657990372
857	0.0265154484
858	0.02647858599
859	0.02640398777
860	0.02636321346
861	0.02629839553
862	0.02628234844
863	0.026250611
864	0.02621130412
865	0.02618740816
866	0.02613379251
867	0.02609419523
868	0.02605858733
869	0.0260073104
870	0.02596585548
871	0.02591282933
872	0.02587852391
873	0.02582302376
874	0.02576805925
875	0.02572617073
876	0.02567073393
877	0.02564105344
878	0.02562495591
879	0.02556839093
880	0.02555832424
881	0.0254771361
882	0.02545292234
883	0.02542858526
884	0.02536189884
885	0.02532531601
886	0.02529183077
887	0.02526419124
888	0.02522309105
889	0.02518991502
890	0.02510621214
891	0.02506433884
892	0.02503780046
893	0.02499070997
894	0.02495170563
895	0.02490096796
896	0.02485516474
897	0.02480834266
898	0.02475330047
899	0.02473830509
900	0.02466234054
901	0.02463751984
902	0.0245958159
903	0.02452622236
904	0.02450336143
905	0.02447274149
906	0.02442203141
907	0.02438919631
908	0.02434547902
909	0.02431622844
910	0.02429672389
911	0.02424791885
912	0.02419067321
913	0.02412306349
914	0.02409329534
915	0.0240604111
916	0.02399769745
917	0.02395237669
918	0.02393684475
919	0.02391463823
920	0.02388327891
921	0.02383684266
922	0.02374546865
923	0.02368933723
924	0.02365555244
925	0.0236154674
926	0.02357990083
927	0.02352142042
928	0.0234732246
929	0.02340122871
930	0.02335043442
931	0.02330914439
932	0.02327126241
933	0.0232550578
934	0.02322305779
935	0.02316375814
936	0.0231286927
937	0.02310691099
938	0.02308728121
939	0.02304613999
940	0.02301657415
941	0.02296026649
942	0.02290580573
943	0.02286167135
944	0.02281363696
945	0.02278449973
946	0.0227645823
947	0.0227243682
948	0.02267111134
949	0.02264695016
950	0.02255698997
951	0.02249592121
952	0.02246934989
953	0.02242962399
954	0.02238033359
955	0.02235343033
956	0.02231561227
957	0.02226044609
958	0.0222449397
959	0.02222814781
960	0.02216795084
961	0.02211208386
962	0.02209296265
963	0.02205993986
964	0.02203698744
965	0.02199796675
966	0.02193562042
967	0.02189740531
968	0.02184766145
969	0.02181599713
970	0.02180131855
971	0.02176286481
972	0.02174369006
973	0.02170498097
974	0.02165156065
975	0.02161673277
976	0.02160234211
977	0.02157906382
978	0.02154279745
979	0.02149767652
980	0.02146482108
981	0.02144005749
982	0.02141525373
983	0.02139189781
984	0.02134160206
985	0.02130617798
986	0.02128233149
987	0.02125582107
988	0.02122454028
989	0.02117366648
990	0.02113154341
991	0.02109832312
992	0.02107122683
993	0.02104588875
994	0.02103737157
995	0.02100001558
996	0.02098139217
997	0.02094394685
998	0.02091744684
999	0.02088675997
